Username,Section
7463343,AD1
1679215,AD1
9577766,AD1
7793667,AD1
8995970,AD1
4664860,AD1
3336625,AD1
3344545,AD1
5202798,AD1
3465603,AD1
2656973,AD1
2237192,AD1
6539790,AD1
2689485,AD1
8284194,AD1
4430567,AD2
9002896,AD2
9746862,AD2
2044878,AD2
1235580,AD2
7691148,AD2
1019173,AD2
9280862,AD2
5092145,AD2
6456023,AD2
2056700,AD2
4719574,AD2
3390659,AD3
8515682,AD3
2349656,AD3
9521829,AD3
2829687,AD3
5883691,AD3
3093976,AD3
6582627,AD3
4409161,AD3
5826088,AD3
2537331,AD3
7457569,AD3
5061884,AD3
4084805,AD3
4132801,AD3
5363019,AD3
2159058,AD3
3184803,AD3
1648297,AD3
7564858,AD3
9800890,AD3
9754185,AD3
4610478,AD3
8036754,AD4
5617271,AD4
9265385,AD4
6995632,AD4
6441267,AD4
2935247,AD4
6624905,AD4
5077461,AD4
5547262,AD4
4698714,AD4
3860209,AD4
8149294,AD4
2687914,AD4
4670411,AD4
9962354,AD4
2241461,AD4
3087819,AD4
4162851,AD5
3008156,AD5
2535649,AD5
2946931,AD5
1363000,AD5
4103314,AD5
3078615,AD5
4532887,AD5
2024834,AD5
1382228,AD5
8140699,AD5
2702891,AD5
2174477,AD5
2207484,AD5
6050974,AD5
8316017,AD5
2024122,AD5
8837161,AD5
2693177,AD5
7564525,AD5
5364311,AD7
8888918,AD7
3842473,AD7
4412732,AD7
3654300,AD7
6743051,AD7
5205835,AD7
8420798,AD7
3932984,AD7
8912561,AD7
7877071,AD7
9532894,AD7
6992010,AD7
5209951,AD7
1208646,AD7
2326638,AD7
1766659,AD6
5712437,AD6
5028719,AD6
6909364,AD6
5829789,AD6
7026396,AD6
3220368,AD6
6205929,AD6
7952780,AD6
2354309,AD6
4226418,AD6
6610329,AD6
5016733,AD6
8518463,AD6
7952585,AD6
7748921,AD6
8016677,AD6
1784832,AD6
8471769,AD6
5349106,AD6
3645541,AD6
9851208,ADA
1001160,ADA
9297720,ADA
6235468,ADA
1836461,ADA
4154138,ADA
2400344,ADA
3189791,ADA
7741367,ADA
8004237,ADA
1056921,ADA
1239768,ADA
1039553,ADA
9864174,ADA
2640549,ADA
2994876,ADA
